,time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
82,2025-03-14 17:00:03.480000,-0.3935547,0.78149414,0.48706055,5.187988,10.559081,-1.4038085
83,2025-03-14 17:00:03.490000,-0.39868164,0.7861328,0.4807129,5.5541987,12.451171,-1.4038085
84,2025-03-14 17:00:03.500000,-0.3894043,0.78637695,0.47460938,5.3710933,13.671874,-1.0375977
85,2025-03-14 17:00:03.510000,-0.38354492,0.7885742,0.47192383,5.310058,14.587401,-0.8544921
86,2025-03-14 17:00:03.520000,-0.37841797,0.7883301,0.47338867,5.1269526,15.319823,-0.97656244
87,2025-03-14 17:00:03.530000,-0.37597656,0.7873535,0.47607422,5.187988,16.479492,-1.2817382
88,2025-03-14 17:00:03.540000,-0.38134766,0.7873535,0.47265625,5.5541987,17.333984,-1.586914
89,2025-03-14 17:00:03.550000,-0.37817383,0.79125977,0.47314453,6.04248,17.51709,-2.0141602
90,2025-03-14 17:00:03.560000,-0.3671875,0.795166,0.47558594,6.469726,17.456055,-2.5634763
91,2025-03-14 17:00:03.570000,-0.3642578,0.7915039,0.46704102,6.7138667,18.493652,-3.234863
92,2025-03-14 17:00:03.580000,-0.37670898,0.78881836,0.45898438,6.896972,19.714355,-4.1503906
93,2025-03-14 17:00:03.590000,-0.38964844,0.79125977,0.4428711,6.835937,20.62988,-4.699707
94,2025-03-14 17:00:03.600000,-0.40722656,0.78930664,0.43066406,6.2866206,20.446775,-4.8828125
95,2025-03-14 17:00:03.610000,-0.42504883,0.782959,0.42407227,6.04248,19.042969,-4.760742
96,2025-03-14 17:00:03.620000,-0.43798828,0.7739258,0.41577148,5.9204097,16.784668,-4.272461
97,2025-03-14 17:00:03.630000,-0.4477539,0.7697754,0.41088867,6.1645503,14.404296,-4.0283203
98,2025-03-14 17:00:03.640000,-0.45239258,0.7709961,0.41552734,6.6528316,12.878417,-3.9062498
99,2025-03-14 17:00:03.650000,-0.44360352,0.7702637,0.41186523,6.9580073,12.390136,-3.6621091
100,2025-03-14 17:00:03.660000,-0.43725586,0.7702637,0.4194336,7.263183,13.0615225,-3.173828
101,2025-03-14 17:00:03.670000,-0.4345703,0.7753906,0.42578125,7.8124995,15.0146475,-3.0517576
102,2025-03-14 17:00:03.680000,-0.4333496,0.78100586,0.42993164,8.361816,17.51709,-3.173828
103,2025-03-14 17:00:03.690000,-0.4284668,0.7817383,0.43774414,8.605957,19.958496,-2.9907224
104,2025-03-14 17:00:03.700000,-0.42944336,0.7775879,0.4416504,8.850098,21.91162,-3.173828
105,2025-03-14 17:00:03.710000,-0.4255371,0.7775879,0.4416504,9.277344,23.010252,-3.3569334
106,2025-03-14 17:00:03.720000,-0.42578125,0.7858887,0.43725586,9.58252,23.376463,-3.5400388
107,2025-03-14 17:00:03.730000,-0.4345703,0.7939453,0.43041992,10.009766,22.827147,-3.7841794
108,2025-03-14 17:00:03.740000,-0.43481445,0.79833984,0.41674805,10.498046,21.423338,-4.0283203
109,2025-03-14 17:00:03.750000,-0.43945312,0.79785156,0.40185547,10.498046,19.470215,-3.7231443
110,2025-03-14 17:00:03.760000,-0.4416504,0.80029297,0.39282227,10.19287,17.150879,-3.4179685
111,2025-03-14 17:00:03.770000,-0.43408203,0.79907227,0.3762207,9.82666,15.0146475,-3.1127927
112,2025-03-14 17:00:03.780000,-0.43115234,0.798584,0.35961914,9.399414,13.732909,-3.0517576
113,2025-03-14 17:00:03.790000,-0.43408203,0.7993164,0.35205078,8.605957,13.366698,-2.6855466
114,2025-03-14 17:00:03.800000,-0.43920898,0.7976074,0.3486328,7.93457,13.244628,-2.6245115
115,2025-03-14 17:00:03.810000,-0.44091797,0.7993164,0.3503418,7.629394,12.573241,-2.868652
116,2025-03-14 17:00:03.820000,-0.44335938,0.79711914,0.34228516,7.3242183,11.291503,-2.807617
117,2025-03-14 17:00:03.830000,-0.4453125,0.7919922,0.34057617,7.0190425,9.94873,-2.6855466
118,2025-03-14 17:00:03.840000,-0.44799805,0.7895508,0.3449707,6.7138667,9.094238,-2.5634763
119,2025-03-14 17:00:03.850000,-0.45263672,0.78881836,0.3503418,6.2255855,8.178711,-2.6245115
120,2025-03-14 17:00:03.860000,-0.46118164,0.7927246,0.35253906,6.04248,6.774902,-2.868652
121,2025-03-14 17:00:03.870000,-0.46606445,0.79907227,0.3544922,5.7983394,5.187988,-2.868652
122,2025-03-14 17:00:03.879999,-0.46313477,0.8010254,0.3557129,5.310058,3.8452146,-2.7465818
123,2025-03-14 17:00:03.889999,-0.46606445,0.7993164,0.3630371,4.638672,2.9907224,-2.319336
124,2025-03-14 17:00:03.899999,-0.46557617,0.79467773,0.359375,4.0283203,2.5634763,-1.7089843
125,2025-03-14 17:00:03.909999,-0.47045898,0.79711914,0.3527832,3.601074,1.7089843,-1.4038085
126,2025-03-14 17:00:03.919999,-0.4675293,0.79541016,0.35668945,3.234863,0.793457,-0.7324218
127,2025-03-14 17:00:03.929999,-0.4663086,0.79248047,0.36010742,2.9296873,0.18310545,-0.122070305
128,2025-03-14 17:00:03.939999,-0.46240234,0.7885742,0.36108398,2.9296873,0.0,0.24414061
129,2025-03-14 17:00:03.949999,-0.46020508,0.79296875,0.35546875,3.2958982,0.122070305,0.24414061
130,2025-03-14 17:00:03.960000,-0.4580078,0.79907227,0.35083008,3.173828,0.3662109,0.30517578
131,2025-03-14 17:00:03.970000,-0.45263672,0.7980957,0.34985352,2.6245115,0.8544921,0.48828122
132,2025-03-14 17:00:03.980000,-0.45336914,0.7980957,0.34838867,2.1362305,1.3427733,0.61035156
133,2025-03-14 17:00:03.990000,-0.4572754,0.79711914,0.35131836,1.6479491,1.5258788,0.7324218
134,2025-03-14 17:00:04.000000,-0.45825195,0.79418945,0.35131836,1.5258788,1.0375977,0.8544921
135,2025-03-14 17:00:04.010000,-0.45825195,0.79541016,0.3515625,1.3427733,0.0,0.8544921
136,2025-03-14 17:00:04.020000,-0.45532227,0.796875,0.35742188,0.97656244,-0.9155273,0.7324218
137,2025-03-14 17:00:04.030000,-0.45166016,0.796875,0.35961914,0.793457,-1.3427733,0.5493164
138,2025-03-14 17:00:04.040000,-0.45117188,0.8015137,0.35766602,0.97656244,-1.3427733,0.48828122
139,2025-03-14 17:00:04.050000,-0.44995117,0.80444336,0.36376953,0.793457,-1.2207031,0.48828122
140,2025-03-14 17:00:04.060000,-0.45166016,0.79785156,0.3630371,0.3662109,-1.0375977,0.67138666
141,2025-03-14 17:00:04.070000,-0.45922852,0.79345703,0.36083984,0.30517578,-0.67138666,0.793457
142,2025-03-14 17:00:04.080000,-0.4645996,0.79711914,0.36108398,0.42724606,-0.5493164,0.793457
143,2025-03-14 17:00:04.090000,-0.46313477,0.79711914,0.35986328,0.3662109,-0.61035156,1.0986328
144,2025-03-14 17:00:04.100000,-0.45751953,0.79711914,0.35913086,0.30517578,-0.24414061,1.4648436
145,2025-03-14 17:00:04.110000,-0.45825195,0.7944336,0.35717773,0.30517578,-0.061035153,1.586914
146,2025-03-14 17:00:04.120000,-0.46044922,0.79418945,0.35961914,0.24414061,-0.18310545,1.5258788
147,2025-03-14 17:00:04.129999,-0.46020508,0.79907227,0.36621094,0.122070305,-0.18310545,1.7089843
148,2025-03-14 17:00:04.139999,-0.45654297,0.7993164,0.37158203,0.122070305,0.30517578,1.8920897
149,2025-03-14 17:00:04.149999,-0.45043945,0.8000488,0.36743164,0.18310545,0.67138666,2.0751953
150,2025-03-14 17:00:04.159999,-0.44189453,0.79907227,0.36572266,0.24414061,0.67138666,2.380371
151,2025-03-14 17:00:04.170000,-0.44604492,0.79541016,0.36572266,0.30517578,0.30517578,2.6245115
152,2025-03-14 17:00:04.180000,-0.45751953,0.79663086,0.3701172,0.61035156,-0.30517578,2.319336
153,2025-03-14 17:00:04.190000,-0.4597168,0.7988281,0.37841797,1.159668,-1.0986328,2.1972656
154,2025-03-14 17:00:04.200000,-0.45336914,0.79956055,0.3815918,1.7089843,-1.7089843,2.5024414
155,2025-03-14 17:00:04.210000,-0.44360352,0.80126953,0.37963867,2.0751953,-1.4038085,2.380371
156,2025-03-14 17:00:04.220000,-0.4321289,0.8039551,0.37963867,1.9531249,-0.24414061,2.0141602
157,2025-03-14 17:00:04.230000,-0.42773438,0.80566406,0.3762207,1.7089843,1.2817382,1.5258788
158,2025-03-14 17:00:04.240000,-0.42871094,0.8063965,0.37524414,1.6479491,2.6245115,1.159668
159,2025-03-14 17:00:04.250000,-0.4333496,0.80737305,0.375,1.7089843,3.3569334,1.0986328
160,2025-03-14 17:00:04.250000,-0.43530273,0.8022461,0.37695312,1.8920897,3.5400388,0.8544921
161,2025-03-14 17:00:04.260000,-0.43164062,0.79663086,0.38085938,2.380371,3.7841794,0.5493164
162,2025-03-14 17:00:04.270000,-0.43896484,0.79174805,0.3779297,2.7465818,4.211426,0.24414061
163,2025-03-14 17:00:04.280000,-0.4453125,0.796875,0.36914062,3.1127927,4.638672,-0.42724606
164,2025-03-14 17:00:04.290000,-0.44506836,0.8063965,0.36645508,3.234863,4.8828125,-0.97656244
165,2025-03-14 17:00:04.300000,-0.4440918,0.8076172,0.36328125,3.173828,5.5541987,-0.97656244
166,2025-03-14 17:00:04.310000,-0.45141602,0.80493164,0.35913086,3.0517576,6.1645503,-0.793457
167,2025-03-14 17:00:04.320000,-0.45532227,0.80126953,0.35839844,2.9296873,6.2255855,-0.67138666
168,2025-03-14 17:00:04.330000,-0.45458984,0.798584,0.3581543,3.1127927,6.103515,-0.3662109
169,2025-03-14 17:00:04.340000,-0.4555664,0.798584,0.35864258,3.601074,6.408691,-0.24414061
170,2025-03-14 17:00:04.350000,-0.45166016,0.80249023,0.35717773,3.967285,6.9580073,-0.30517578
171,2025-03-14 17:00:04.360000,-0.4519043,0.8059082,0.35327148,4.0893555,7.629394,-0.30517578
172,2025-03-14 17:00:04.370000,-0.4489746,0.80859375,0.34692383,4.0893555,8.056641,-0.18310545
173,2025-03-14 17:00:04.380000,-0.45166016,0.8034668,0.3395996,4.0893555,8.361816,-0.061035153
174,2025-03-14 17:00:04.390000,-0.45092773,0.8029785,0.33935547,4.0893555,8.361816,-0.18310545
175,2025-03-14 17:00:04.400000,-0.45214844,0.8010254,0.33740234,4.1503906,8.178711,-0.30517578
176,2025-03-14 17:00:04.410000,-0.44848633,0.8017578,0.33398438,4.0283203,7.568359,-0.61035156
177,2025-03-14 17:00:04.420000,-0.4519043,0.80322266,0.33007812,3.9062498,6.7138667,-0.97656244
178,2025-03-14 17:00:04.430000,-0.453125,0.8027344,0.32958984,3.7841794,5.4321284,-1.0375977
179,2025-03-14 17:00:04.440000,-0.4465332,0.8015137,0.32958984,3.4179685,4.0893555,-1.4038085
180,2025-03-14 17:00:04.450000,-0.4465332,0.81030273,0.3293457,3.173828,3.8452146,-1.8920897
181,2025-03-14 17:00:04.460000,-0.45410156,0.8125,0.32958984,2.7465818,4.1503906,-2.1972656
182,2025-03-14 17:00:04.470000,-0.46191406,0.8071289,0.33081055,2.6245115,4.211426,-2.0751953
183,2025-03-14 17:00:04.480000,-0.46240234,0.8046875,0.3317871,2.5634763,4.211426,-2.0751953
184,2025-03-14 17:00:04.490000,-0.46313477,0.8015137,0.33569336,2.6855466,4.272461,-2.0141602
185,2025-03-14 17:00:04.500000,-0.46850586,0.80126953,0.33569336,2.6245115,4.4555664,-1.8920897
186,2025-03-14 17:00:04.510000,-0.46704102,0.8027344,0.32592773,2.5634763,4.4555664,-1.8920897
187,2025-03-14 17:00:04.520000,-0.46655273,0.80322266,0.32373047,2.4414062,4.272461,-1.6479491
188,2025-03-14 17:00:04.530000,-0.4699707,0.7980957,0.3244629,1.9531249,4.0283203,-1.0986328
