time,acc_is,acc_ml,acc_pa,gyr_is,gyr_ml,gyr_pa
2025-03-14 14:39:55.190000057+00:00,4.3565425200000005,-6.73958772,4.8978190800000005,4.821777,1.098633,0.549316
2025-03-14 14:39:55.200000048+00:00,4.40683839,-6.73000335,4.861885050000001,4.516602,1.953125,0.427246
2025-03-14 14:39:55.210000038+00:00,4.380488730000001,-6.7515559199999995,4.84272612,4.150391,3.112793,0.366211
2025-03-14 14:39:55.220000029+00:00,4.30385301,-6.746768640000001,4.8379388400000005,3.601074,3.78418,0.061035
2025-03-14 14:39:55.230000019+00:00,4.27989699,-6.69407913,4.81399263,3.417969,4.638672,-0.244141
2025-03-14 14:39:55.240000010+00:00,4.17691161,-6.63180525,4.81399263,3.540039,5.79834,-0.488281
2025-03-14 14:39:55.250000+00:00,4.07631987,-6.60785904,4.84272612,3.356934,5.79834,-0.854492
2025-03-14 14:39:55.259000063+00:00,4.04039565,-6.61025268,4.873863060000001,3.356934,5.065918,-1.281738
2025-03-14 14:39:55.269000053+00:00,4.07631987,-6.6342087,4.91697801,3.601074,4.394531,-1.586914
2025-03-14 14:39:55.279000044+00:00,4.0954788,-6.61025268,4.98403917,3.662109,3.723145,-1.464844
2025-03-14 14:39:55.289000034+00:00,4.109850450000001,-6.62941161,5.00080446,3.601074,2.929688,-1.403809
2025-03-14 14:39:55.299000025+00:00,4.15057176,-6.63180525,5.02714431,4.272461,2.746582,-1.281738
2025-03-14 14:39:55.309000015+00:00,4.0978822500000005,-6.6342087,5.05828125,4.272461,1.77002,-0.915527
2025-03-14 14:39:55.319000006+00:00,4.1433810300000005,-6.64138962,5.0031981,3.662109,-0.488281,-0.366211
2025-03-14 14:39:55.328999996+00:00,4.1817087,-6.655761270000001,4.94331786,2.868652,-3.601074,0.427246
2025-03-14 14:39:55.338999987+00:00,4.31342757,-6.73000335,4.8499168500000005,2.441406,-6.896973,1.342773
2025-03-14 14:39:55.348999977+00:00,4.54574799,-6.758746650000001,4.76369676,3.417969,-6.896973,1.586914
2025-03-14 14:39:55.358999968+00:00,4.54814163,-6.7156317,4.80919554,5.065918,-2.563477,0.976563
2025-03-14 14:39:55.368999958+00:00,4.4499435300000005,-6.69168549,4.89062835,5.310059,1.831055,0.244141
2025-03-14 14:39:55.380000114+00:00,4.39486038,-6.696472770000001,4.979242080000001,4.943848,4.211426,0.061035
2025-03-14 14:39:55.390000105+00:00,4.3445645100000005,-6.6725265600000006,4.9744548,4.272461,5.126953,0.244141
2025-03-14 14:39:55.400000095+00:00,4.17691161,-6.6581549099999995,4.962476789999999,3.112793,5.249023,1.037598
2025-03-14 14:39:55.410000086+00:00,4.02123672,-6.63180525,4.97684844,2.319336,4.211426,1.77002
2025-03-14 14:39:55.420000076+00:00,4.00207779,-6.61744341,5.04630324,1.89209,2.746582,2.075195
2025-03-14 14:39:55.430000067+00:00,4.10266953,-6.63660234,5.122948770000001,1.708984,2.807617,1.77002
2025-03-14 14:39:55.440000057+00:00,3.90148605,-6.64378326,5.14928862,1.708984,3.234863,0.671387
2025-03-14 14:39:55.450000048+00:00,3.86077455,-6.6581549099999995,5.18521284,1.586914,1.220703,-0.427246
2025-03-14 14:39:55.460000038+00:00,3.97813158,-6.696472770000001,5.1828192,1.464844,-1.647949,-1.098633
2025-03-14 14:39:55.470000029+00:00,4.11943482,-6.737194080000001,5.173244640000001,1.77002,-3.967285,-1.525879
2025-03-14 14:39:55.480000019+00:00,4.21283583,-6.72521607,5.13732042,2.502441,-5.187988,-1.586914
2025-03-14 14:39:55.490000010+00:00,4.27989699,-6.6821011200000004,5.12773605,3.78418,-4.943848,-1.708984
2025-03-14 14:39:55.500000+00:00,4.29426864,-6.605465400000001,5.13971406,5.126953,-4.089355,-2.075195
2025-03-14 14:39:55.509000063+00:00,4.287087720000001,-6.531213510000001,5.12773605,6.04248,-3.234863,-2.197266
2025-03-14 14:39:55.519000052+00:00,4.2966622800000005,-6.46894944,5.1660539100000005,6.652832,-2.441406,-2.13623
2025-03-14 14:39:55.529000044+00:00,4.34217087,-6.42822813,5.15408571,6.896973,-1.953125,-1.89209
2025-03-14 14:39:55.539000034+00:00,4.38527601,-6.41146284,5.110970760000001,6.774902,-1.586914,-1.464844
2025-03-14 14:39:55.549000025+00:00,4.42360368,-6.41386629,5.12534241,6.347656,-1.220703,-0.793457
2025-03-14 14:39:55.559000015+00:00,4.4619215400000005,-6.40667556,5.17803192,5.615234,-0.305176,0.244141
2025-03-14 14:39:55.569000006+00:00,4.49066484,-6.449790510000001,5.22114687,4.943848,0.854492,1.525879
2025-03-14 14:39:55.578999996+00:00,4.3900731,-6.4713430800000005,5.24988036,4.333496,2.13623,2.502441
2025-03-14 14:39:55.588999987+00:00,4.169730690000001,-6.42583449,5.25707109,3.845215,2.258301,2.807617
2025-03-14 14:39:55.598999977+00:00,4.16014632,-6.38272935,5.22832779,2.990723,1.281738,3.112793
2025-03-14 14:39:55.608999968+00:00,4.05955458,-6.430631580000001,5.13732042,1.89209,0.305176,2.807617
2025-03-14 14:39:55.618999958+00:00,3.9853125,-6.512054580000001,5.101396200000001,0.854492,-1.586914,2.685547
2025-03-14 14:39:55.630000114+00:00,4.0547673,-6.583912830000001,5.039122320000001,0.12207,-3.723145,2.624512
2025-03-14 14:39:55.640000105+00:00,4.11704118,-6.63899598,4.9912200900000006,-0.244141,-4.089355,2.624512
2025-03-14 14:39:55.650000095+00:00,4.18649598,-6.684494760000001,5.00559174,-0.305176,-3.295898,2.624512
2025-03-14 14:39:55.660000086+00:00,4.24636641,-6.72282243,5.03672868,-0.427246,-2.441406,2.685547
2025-03-14 14:39:55.670000076+00:00,4.263131700000001,-6.72521607,5.05588761,-0.549316,-1.708984,2.441406
2025-03-14 14:39:55.680000067+00:00,4.25834442,-6.686898210000001,5.0726529000000005,-0.671387,-1.464844,2.13623
2025-03-14 14:39:55.690000057+00:00,4.25355714,-6.6725265600000006,5.09420547,-1.037598,-1.586914,1.708984
2025-03-14 14:39:55.700000048+00:00,4.25834442,-6.650973990000001,5.07744018,-1.098633,-1.953125,1.159668
2025-03-14 14:39:55.710000038+00:00,4.27510971,-6.62223069,5.09420547,-1.159668,-2.13623,0.671387
2025-03-14 14:39:55.720000029+00:00,4.28229063,-6.61744341,5.09899275,-1.159668,-1.89209,0.305176
2025-03-14 14:39:55.730000019+00:00,4.24157913,-6.627017970000001,5.031931590000001,-1.220703,-1.525879,0.0
2025-03-14 14:39:55.740000010+00:00,4.205654910000001,-6.615039960000001,5.022357029999999,-1.098633,-1.281738,-0.061035
2025-03-14 14:39:55.750000+00:00,4.17691161,-6.58630647,5.031931590000001,-0.854492,-1.403809,-0.305176
